_id,product_type,description,quantity_available
KAL_148198,Kima Apple Llama,Pallet Town Metoyo Marisol Mayrina Nutmeg McNerney Starshine,767
SJPT_120897,Starchelle Jelissa Pallet Town,Andromeda Rowan Marisol Cresenta Galaxia Yolanda,213
NS_345609,New Sophiesville,Almia Abby Andromeda Nermina Lovelle Foxglove Sophia Juniper Andromeda Sivertsen,897
S_836005,Solstice,Daisy Petunia Magnolia,973
J_24363,Juniper,Lu Kima Cinnamon Rowan Avdic Elm Rowan New Sophiesville,937
M_386004,Magnolia,Valery Almia Abby Sycamore Elm Sheep Pallet Town Maybespring Harmony Starlight,212
F_929215,Foxglove,Astra Foxglove Lien Metoyo Sunflower Sophia Valery 8th,467
4M_654101,4th Matsuka,Sometimesautumn McKeever Equinox Yolanda Nermina Misty Autumn Starlight,900
99_474891,9th 9th,Daisy Rowan McKeever Metoyo Neverwinter Abby,60
C_46036,Cresenta,Daisy Abby Rowan,113
PCB_871311,Petunia Cresenta Burch,Maybespring Sophia Alwayssummer Amy McNerney Lime Equinox,433
LAH_119335,Lime Alwayssummer Harmony,2nd Amy Vivian Rowan Misty Autumn Galaxia Solstice,904
2H_981356,2nd Harmony,Arielle 9th Equinox Rowan Moonlight Delilah New Sophiesville Metoyo,317
SNSC_787014,Sophiesville New Sophiesville Collette,Mayrina Elm Arielle Valery Solstice,362
3K_395919,3rd Kima,Rowan Alpaca Collette McKeever,273
SN_945880,Sycamore Nermina,Sophiesville Daisy 7th Lovelle Starlight Equinox Jelissa,603
JAE_727802,Jelissa Apple Equinox,Matsuka Astra Moonlight 7th Metoyo Equinox Jam,841
NSA_534496,Nutmeg Sheep Andromeda,Petunia Cherry Yolanda Mayrina Kima,442
J_654707,Jelissa,6th Lu Nermina,563
ML_396243,Maybespring Lu,5th Lauren Elm Amy Kayomi Loaf Rose Lu New Sophiesville Misty Autumn,753
M_187479,Matsume,Astra Limelight Kima Misty Autumn,214
NA4_267287,Neverwinter Alwayssummer 4th,Matsume Limelight Andromeda Alwayssummer Alpaca New Sophiesville New Sophiesville Star,36
S_203845,Starchelle,Lovelle New Sophiesville Lauren,965
M_871942,Mayrina,Melody Amy Loaf Way Apple Collette Lovelle Oak 5th 8th,542
RMMA_915327,Rowan Melody Misty Autumn,Kukui Starchelle Kukui,796
L_760490,Llama,3rd Lauren Sometimesautumn Cinnamon Goat Magnolia Marisol Lovelle,164
NSN_395969,New Sophiesville Nermina,Misty Autumn Matsume Stella Rowan Marisol Jelissa Collette Starchilly Juniper,49
L9S_958542,Lauren 9th Starlight,Amy Rose Oak Astra Sycamore Nermina Metoyo McKeever Goat,172
S_691434,Starshine,Bear Alwayssummer Petunia Sophia Cherry Pallet Town Katie Strawberry 9th,237
V4MA_687396,Vivian 4th Misty Autumn,7th Petunia Jelissa,512
LBA_704784,Lime Burch Astra,Sivertsen Kima Daisy Mayrina Collette Juniper,285
GJ_958258,Galaxia Juniper,5th Almia Strawberry Yolanda Sometimesautumn Kukui Loaf,913
8JC_142411,8th Juniper Cherrish,McKeever Misty Autumn Valery Galaxia Ramirez Lovelle Elm,117
E_256858,Equinox,Sunflower Lynn New Sophiesville,636
R_36999,Rowan,Lime Vivian Metoyo Sunflower,184
SM_685790,Sometimesautumn Melody,Sometimesautumn Magnolia New Sophiesville Matsuka Limelight Neverwinter Jelly Matsume,536
S_411202,Solstice,Misty Autumn Rose Kima Star Sometimesautumn Daisy Jelissa,664
O_287652,Oak,7th Kukui Alpaca Bear Llama,69
S_817664,Sometimesautumn,Lien Sophiesville Galaxia Lovelle Lovelle,550
6B6_514172,6th Burch 6th,Alwayssummer Stella Oak Nermina Arielle Pallet Town Avdic,66
MAD_287730,Marisol Arielle Daisy,Jelissa McKeever Pallet Town Lovelle Amy McNerney Cinnamon Daisy,646
A_693739,Amy,Delilah 7th Elm Maybespring 1st Solstice Sometimesautumn,367
MMA8_60767,Melody Misty Autumn 8th,Rowan Sophia Maybespring Solstice Taco,441
PTMS_789326,Pallet Town Marisol Solstice,Maybespring Metoyo Matsuka Jelly Lovelle Abby Marisol Star Lovelle,559
M7R_841449,Matsume 7th Rowan,5th Ramirez Sophiesville Starchelle Jam Marisol 2nd Foxglove Vivian Burch,168
THM_581018,Taco Harmony Metoyo,Goat Delilah Equinox,534
BL4_676485,Bear Limelight 4th,Sophiesville Limelight Pallet Town 2nd Sivertsen Collette Mayrina Sunflower,59
SA6_232430,Sometimesautumn Abby 6th,Harmony Lauren Yolanda New Sophiesville Strawberry Strawberry Jam 3rd,954
RL_717473,Rose Lu,Neverwinter Kayomi Lynn Magnolia Solstice Sophia 7th Marisol,560
S_77407,Sunflower,Cherry Lovelle Neverwinter Kima Jelissa Harmony Limelight Daisy 7th Melody,417
LD_695181,Lauren Daisy,Mayrina 2nd Kayomi Neverwinter Valery Misty Autumn Kukui Abby,318
MSS_8491,Magnolia Stella Starshine,2nd Equinox Misty Autumn Starshine Kayomi Sophia,107
MASC_402835,Misty Autumn Sophiesville Collette,Almia Melody Valery Misty Autumn Star 7th Llama,585
MVS_489465,Metoyo Vivian Starlight,Sycamore Elm Mayrina,877
TR_766469,Taco Rose,Arielle Lovelle Avdic Matsume Ramirez McNerney Daisy Alwayssummer Foxglove,88
VK_670015,Valery Kayomi,Starchilly 3rd Matsume Strawberry Marisol McKeever Starlight Avdic Equinox,463
LEK_555938,Loaf Equinox Kayomi,Kukui 6th Vivian Almia Starchilly,719
CJ_42760,Collette Jam,Nutmeg Harmony Vivian Valery,427
OMS_1483,Oak Melody Sophia,Burch Amy Petunia Katie 3rd Moonlight Moonlight McKeever Rose,473
CFR_569085,Cherrish Foxglove Rose,Lu Equinox Pallet Town,142
KL_986439,Kayomi Llama,Goat Solstice Sophia Galaxia Foxglove Melody Juniper McNerney Sycamore Way,587
A_471897,Avdic,Starlight Delilah Astra Sheep Lime Lien Magnolia,907
6K_996513,6th Kukui,Foxglove Equinox Mayrina,801
CMAM_580915,Collette Misty Autumn McKeever,Harmony Neverwinter Harmony Starlight Cherry Magnolia Star 4th Astra,698
RS_604609,Ramirez Starchelle,Star Lien Starshine Cherrish,768
SM_901246,Starchelle McNerney,Goat Sophia Abby Equinox Apple McNerney Starchilly 2nd New Sophiesville,28
B_823966,Burch,Katie 6th Alwayssummer Limelight,811
MSA_33587,Magnolia Starchelle Alwayssummer,Way Star Jam Pallet Town Daisy Lynn Lynn Goat Collette,782
CK_539387,Cherrish Kayomi,Solstice Lime Alpaca Misty Autumn Pallet Town Collette McNerney Sophiesville Way,346
AML_913803,Avdic Moonlight Lien,3rd Mayrina Amy Sometimesautumn Pallet Town Foxglove Kima,691
LSMA_505312,Llama Solstice Misty Autumn,Rose Delilah Sophiesville Star 5th 9th Nermina Sivertsen Rowan Daisy,247
M_333183,Magnolia,Misty Autumn Katie Elm Vivian Petunia,71
4J_342092,4th Jelissa,Harmony Yolanda Rose,434
NEJ_825160,Nutmeg Elm Juniper,Matsume 9th 1st 5th,980
MA_721354,Misty Autumn,Pallet Town Taco Metoyo Equinox Lovelle Loaf,838
SW_947677,Starchelle Way,Starchelle Misty Autumn Rowan Moonlight Foxglove McKeever,900
78_876301,7th 8th,Equinox Cresenta Nermina Lynn 8th Sheep Mayrina Alpaca,927
SL_513431,Starchilly Loaf,Juniper Jelissa 4th Lovelle Moonlight,814
AANS_843843,Alwayssummer Alpaca New Sophiesville,Magnolia Alwayssummer Juniper,282
LMK_231962,Lu McNerney Kima,Moonlight Maybespring Limelight McKeever Kayomi Lien Starlight Lauren Rowan,691
88R_77801,8th 8th Ramirez,Sycamore Taco Metoyo 7th 9th Sycamore Yolanda Nutmeg Misty Autumn,858
A6N_926614,Andromeda 6th Nermina,Nutmeg Petunia Alpaca McKeever Daisy,272
MA_279305,Misty Autumn,Vivian Kayomi 4th Misty Autumn Foxglove Jam Kukui,113
SNS_713026,Sycamore New Sophiesville,Loaf Marisol Neverwinter 5th Cherry Lien Strawberry,251
L_593191,Lu,Harmony Abby Cresenta Apple Jelly Marisol Limelight Strawberry Vivian,234
E_389545,Equinox,Moonlight Almia Ramirez Daisy Sheep,656
DM_220321,Delilah Marisol,New Sophiesville Jelissa Alwayssummer McNerney Abby Lynn Katie Delilah Elm,843
VS_252740,Vivian Star,Jam Goat Abby Equinox Sophiesville Mayrina,374
CSPT_114686,Cherrish Starlight Pallet Town,7th Taco Lynn Arielle,925
LDS_238946,Limelight Delilah Sheep,Nermina Nermina Foxglove Taco,168
BAPT_484393,Bear Alwayssummer Pallet Town,Melody McNerney Cherry Galaxia Alpaca Lien Kima Lynn Lynn Kukui,565
RFM_100176,Rose Foxglove Matsume,Goat Kayomi Apple Jelissa Jam Petunia Sycamore Cinnamon,520
VJ_540856,Vivian Juniper,Astra Cherrish Loaf Delilah,253
EOM_335760,Elm Oak Melody,Cherrish Avdic Alwayssummer Sometimesautumn,595
L_788602,Lien,Rose Starchelle Astra Rowan Lovelle Marisol Equinox Stella Amy Juniper,115
OS_859802,Oak Starlight,Cresenta Kayomi Metoyo 8th Galaxia Stella Elm,424
KMC_226546,Katie McNerney Cresenta,Almia Misty Autumn Katie Llama Burch Star Burch Harmony Mayrina Cherrish,457
NA_876717,Neverwinter Andromeda,Cinnamon Burch Lovelle Equinox Jelissa Kukui Kayomi Katie,422
C_785452,Collette,Bear 3rd Harmony Starlight Solstice Nermina Galaxia Katie,974
M_267211,McKeever,Alwayssummer Maybespring Nutmeg Strawberry Jelissa Foxglove,543
KKC_212212,Kukui Kukui Collette,Starchilly Kima Equinox Lu,382
SM_369758,Sometimesautumn McNerney,Sophiesville Cresenta Melody,218
